family,domain,system,faithfulness_mean,faithfulness_ci95_low,faithfulness_ci95_high,code_consistency_mean,code_consistency_ci95_low,code_consistency_ci95_high,vacuity_mean,vacuity_ci95_low,vacuity_ci95_high,proof_utility_mean,proof_utility_ci95_low,proof_utility_ci95_high,n_instances
graph_bfs_shortest_path,graph,naive_concat_v1,0.8714,0.7429,0.9571,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2968,0.2846,0.3089,7
graph_bfs_shortest_path,graph,text_only_v1,0.6122,0.5850,0.6395,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2600,0.2561,0.2658,7
graph_dijkstra,graph,code_only_v1,0.9167,0.9167,0.9167,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7363,0.7363,0.7363,7
graph_dijkstra,graph,full_method_v1,0.9286,0.9286,0.9286,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7404,0.7404,0.7404,7
graph_dijkstra,graph,naive_concat_v1,0.9286,0.9286,0.9286,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7404,0.7404,0.7404,7
graph_dijkstra,graph,text_only_v1,0.9286,0.9286,0.9286,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7404,0.7404,0.7404,7
greedy_coin_change_canonical,greedy,code_only_v1,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2796,0.2796,0.2796,7
greedy_coin_change_canonical,greedy,full_method_v1,0.7786,0.7643,0.7929,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.4548,0.2867,0.6229,7
greedy_coin_change_canonical,greedy,naive_concat_v1,0.5357,0.5119,0.5595,0.7429,0.6143,0.9357,0.0476,0.0119,0.0714,0.2492,0.2458,0.2542,7
greedy_coin_change_canonical,greedy,text_only_v1,0.5306,0.5102,0.5612,0.7429,0.5500,0.9357,0.1429,0.0357,0.2143,0.2484,0.2455,0.2528,7
greedy_interval_scheduling,greedy,code_only_v1,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2796,0.2796,0.2796,7
greedy_interval_scheduling,greedy,full_method_v1,0.7786,0.7643,0.7929,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6888,0.6814,0.6937,7
greedy_interval_scheduling,greedy,naive_concat_v1,0.7429,0.6107,0.8310,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2786,0.2598,0.2911,7
greedy_interval_scheduling,greedy,text_only_v1,0.5455,0.5455,0.5455,1.0000,1.0000,1.0000,0.0909,0.0909,0.0909,0.2506,0.2506,0.2506,7
sorting_insertion_sort,sorting,code_only_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2914,0.2914,0.2914,7
sorting_insertion_sort,sorting,full_method_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,7
sorting_insertion_sort,sorting,naive_concat_v1,0.7951,0.7836,0.8124,1.0000,1.0000,1.0000,0.1024,0.0938,0.1082,0.2859,0.2843,0.2884,7
sorting_insertion_sort,sorting,text_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,7
sorting_merge_sort,sorting,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,7
sorting_merge_sort,sorting,full_method_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7650,0.7650,0.7650,7
sorting_merge_sort,sorting,naive_concat_v1,0.9805,0.9610,0.9935,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3123,0.3104,0.3141,7
sorting_merge_sort,sorting,text_only_v1,0.8214,0.6428,0.9405,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2897,0.2643,0.3066,7
trees_bst_insert,trees,code_only_v1,0.9429,0.9143,0.9857,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3069,0.3028,0.3130,7
trees_bst_insert,trees,full_method_v1,0.9571,0.9143,0.9857,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7503,0.7355,0.7601,7
trees_bst_insert,trees,naive_concat_v1,0.8000,0.7250,0.8500,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2867,0.2760,0.2938,7
trees_bst_insert,trees,text_only_v1,0.5736,0.5549,0.6017,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2546,0.2506,0.2586,7
trees_lowest_common_ancestor,trees,code_only_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2914,0.2914,0.2914,7
trees_lowest_common_ancestor,trees,full_method_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,7
trees_lowest_common_ancestor,trees,naive_concat_v1,0.6190,0.5952,0.6548,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2610,0.2576,0.2643,7
trees_lowest_common_ancestor,trees,text_only_v1,0.5519,0.5130,0.5779,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2515,0.2478,0.2552,7
