run_id,system_id,provider_name,provider_model,total_input_tokens,total_output_tokens,wall_clock_seconds,estimated_or_billed_cost_usd,cost_status,cost_reason_code,runner_hostname,runner_os,runner_arch,lean_check_time_seconds,manifest_path
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_126,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_126/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_127,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_127/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_128,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_128/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_129,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_129/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_130,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_130/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_131,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_131/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_298,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_298/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_299,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_299/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_300,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_300/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_301,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_301/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_302,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_302/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_303,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_303/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_304,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_304/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_305,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_305/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_306,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_306/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_307,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_307/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_308,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_308/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_309,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_309/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_310,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_310/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_400,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_400/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_499,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_499/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_500,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_500/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_501,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_501/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_502,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_502/run_manifest.json
